town_id,town_name_en,town_name_mm,region_id
1,Za Bu Thi Ri Township,ဇမ္ဗူသီရိ မြို့နယ်,1
2,Pyinmana Township,ပျဉ်းမနား မြို့နယ်,1
3,Tatkon Township,တပ်ကုန်း မြို့နယ်,1
4,Lewe Township,လယ်ဝေး မြို့နယ်,1
5,Zay Yar Thi Ri Township,ဇေယျာသီရိ မြို့နယ်,1
6,Det Khi Na Thi Ri Township,ဒက္ခိဏသီရိ မြို့နယ်,1
7,Poke Ba Thi Ri Township,ပုဗ္ဗသီရိ မြို့နယ်,1
8,Oke Ta Ra Thi Ri Township,ဥတ္တရသီရိ မြို့နယ်,1
9,Aungmyaythazan Township,အောင်မြေသာစံ မြို့နယ်,2
10,Chanayethazan Township,ချမ်းအေးသာစံ မြို့နယ်,2
11,Mahaaungmyay Township,မဟာအောင်မြေ မြို့နယ်,2
12,Chanmyathazi Township,ချမ်းမြသာစည် မြို့နယ်,2
13,Pyigyitagon Township,ပြည်ကြီးတံခွန် မြို့နယ်,2
14,Amarapura Township,အမရပူရ မြို့နယ်,2
15,Patheingyi Township,ပုသိမ်ကြီး မြို့နယ်,2
16,Pyinoolwin Township,ပြင်ဦးလွင် မြို့နယ်,2
17,Mogoke Township,မိုးကုတ် မြို့နယ်,2
18,Thabeikkyin Township,သပိတ်ကျင်း မြို့နယ်,2
19,Singu Township,စဉ့်ကူး မြို့နယ်,2
20,Madaya Township,မတ္တရာ မြို့နယ်,2
21,Tada-U Township,တံတားဦး မြို့နယ်,2
22,Sintgaing Township,စဉ့်ကိုင် မြို့နယ်,2
23,Kyaukse Township,ကျောက်ဆည် မြို့နယ်,2
24,Myittha Township,မြစ်သား မြို့နယ်,2
25,Wundwin Township,ဝမ်းတွင်း မြို့နယ်,2
26,Meiktila Township,မိတ္ထီလာ မြို့နယ်,2
27,Thazi Township,သာစည် မြို့နယ်,2
28,Mahlaing Township,မလှိုင် မြို့နယ်,2
29,Pyawbwe Township,ပျော်ဘွယ် မြို့နယ်,2
30,Yamethin Township,ရမည်းသင်း မြို့နယ်,2
31,Nyaung-U Township,ညောင်ဦး မြို့နယ်,2
32,Kyaukpadaung Township,ကျောက်ပန်းတောင်း မြို့နယ်,2
33,Myingyan Township,မြင်းခြံ မြို့နယ်,2
34,Natogyi Township,နွားထိုးကြီး မြို့နယ်,2
35,Taungtha Township,တောင်သာ မြို့နယ်,2
36,Ngazun Township,ငါန်းဇွန် မြို့နယ်,2
37,Myitnge Town,မြစ်ငယ် မြို့,2
38,Takaung Town,တကောင်း မြို့,2
39,Ku Me Town,ကူမဲ မြို့,2
40,Bagan Town,ပုဂံ မြို့,2
41,Ngathayauk Town,ငါ့သရောက် မြို့,2
42,Si Mee Khon Town,ဆီမီးခုံ မြို့,2
43,Sittwe Township,စစ်တွေ မြို့နယ်,3
44,Maungdaw Township,မောင်တော မြို့နယ်,3
45,Buthidaung Township,ဘူးသီးတောင် မြို့နယ်,3
46,Rathedaung Township,ရသေ့တောင် မြို့နယ်,3
47,Ponnagyun Township,ပုဏ္ဏားကျွန်း မြို့နယ်,3
48,Kyauktaw Township,ကျောက်တော် မြို့နယ်,3
49,Gwa Township,ဂွ မြို့နယ်,3
50,Pauktaw Township,ပေါက်တော မြို့နယ်,3
51,Minbya Township,မင်းပြား မြို့နယ်,3
52,Mrauk-U Township,မြောက်ဦး မြို့နယ်,3
53,Myebon Township,မြေပုံ မြို့နယ်,3
54,Kyaukpyu Township,ကျောက်ဖြူ မြို့နယ်,3
55,Ramree Township,ရမ်းဗြဲ မြို့နယ်,3
56,Munaung Township,မာန်အောင် မြို့နယ်,3
57,Ann Township,အမ်း မြို့နယ်,3
58,Toungup Township,တောင်ကုတ် မြို့နယ်,3
59,Thandwe Township,သံတွဲ မြို့နယ်,3
60,Taungpyoletwea Town,တောင်ပြိုလက်ဝဲ မြို့,3
61,Kha Maung Seik Town,ခမောင်းဆိပ် မြို့,3
62,Myin Hlut Town,မြင်းလွှတ် မြို့,3
63,Kanhtauntkyi Town,ကမ်းထောင့်ကြီး မြို့,3
64,Sa Ne Town,စနဲ မြို့,3
65,Lay Taung Town,လေးတောင် မြို့,3
66,Tat Taung Town,တပ်တောင် မြို့,3
67,Ma-Ei Town,မအီ မြို့,3
68,Tan Hlwe Ywar Ma Town,တန်းလွဲရွာမ မြို့,3
69,Ngapali Town,ငပလီ မြို့,3
70,Kyeintali Town,ကျိန္တလီ မြို့,3
71,Taunggyi Township,တောင်ကြီး မြို့နယ်,4
72,Kalaw Township,ကလော မြို့နယ်,4
73,Pindaya Township,ပင်းတယ မြို့နယ်,4
74,Ywangan Township,ရွာငံ မြို့နယ်,4
75,Pinlaung Township,ပင်လောင်း မြို့နယ်,4
76,Pekon Township,ဖယ်ခုံ မြို့နယ်,4
77,Lawksawk Township,ရပ်စောက် မြို့နယ်,4
78,Nyaungshwe Township,ညောင်ရွှေ မြို့နယ်,4
